1,Accidental Beach,4,Accidental Beach is a phenomenon that formed right in the heart of downtown Edmonton during the construction of the Tawatina LRT bridge. The beach stretches the length of several city blocks and boasts a view of downtown Edmonton.,1.jpg
2,Bear Lake,222,"GreatBear Lake, located in the Northwest Territories, is the largest맓ake맓ocated entirely inside Canadian borders. It is also the fourth largest in North America and the eighth largest in the world",2.jpg
3,Camp Chestermere Beach,3,"East of Calgary, Chestermere Lake is 4.8 km long and provides many opportunities for residents to relax and enjoy the water. ... Beaches are sampled on varying frequencies for Enterococcus and for cyanobacteria and microcystins (blue-green algae) during the summer months",3.jpg
4,Crescent Beach,90,Crescent Beach is a beautiful beach and residential area in South Surrey not far from White Rock. It's home to a few restaurants and Blackie Spit Park,4.jpg
5,Jericho Beach,43,"Jericho Beach, known originally as iy'a'l'mexw in Squamish, a Vancouver beach, is located west of the seaside neighbourhood of Kitsilano",5.jpg
6,Parksville,30,"Parksville Beach is a beautiful and unique area, with crystal clear salt water and the warmest ocean swimming in Canada at high tide.",6.jpg
7,Saltspring Island,43,"Salt Spring Island is one of the Gulf Islands in the Strait of Georgia between mainland British Columbia, Canada and Vancouver Island",7.jpg
8,White Rock Beach,47,"White Rock Beaches are known for stunning sunsets and fair weather. You will enjoy miles of sandy beaches, strolling the promenades, beach combing, crab fishing, sunbathing, swimming, crab fishing, kayaking and sailing",8.jpg
9,Grand Beach,56,"East Grand Beach is a one hour drive north from the City of Winnipeg, on Highway 59 to Highway 12. The beach is thought to be one of the best beaches in North America, and attracts thousands of visitors each year with fine, white sand stretching 3 km along Lake Winnipeg, a large freshwater lake.",9.jpg
10,Hillside Beach Manitoba,56,"Hillside Beach is a summer resort located on the eastern shore of Lake Winnipeg in the Canadian province of Manitoba in the Rural Municipality of Alexander. It is approximately 95 kilometres from Winnipeg, Manitoba",10.jpg
11,Victoria Beach Manitoba,56,"Victoria Beach is a rural municipality located on the southeastern shores of Lake Winnipeg. It is approximately 100 kilometres north of Winnipeg, the provincial capital of Manitoba, Canada",11.jpg
12,Parlee Beach,63,"Parlee Beach Provincial Park is a provincial park located in Pointe-du-Ch沙e, New Brunswick, Canada",12.jpg
13,Middle Cove Beach,64,Middle Cove Beach is a very popular destination for residents and visitors. It contains ample parking and consists of a beautiful beach for children to play and for the annual capelin run. At night many a campfire burns as the waves roll in the background,13.jpg
14,St. Vincent's Beach,68,On a beautiful cobblestone beach in St. Vincent's visitors can stop and enjoy the antics of the magnificent humpback whales that come close to shore because of deep water,14.jpg
15,Lumsden,216,Lumsden Beach is over 100 years old established on land originally owned by the United Church as a location for their youth summer camps,15.jpg
16,McNiven Beach Park,29," McNiven Beach, named after the city's first mayor, was developed with facilities for swimming; sometimes floatplanes landed nearby as well.",16.jpg
17,Cape Breton Island,223,"The말sland맔easures 10,311 square kilometres (3,981 sq mi) in area, making it the 77th largest말sland말n the world and Canada's 18th largest말sland",17.jpg
18,lawrencetown Beach,224,Lawrencetown Beach is a provincial beach park 19 km (12 mi) east of Dartmouth on Route 207 along the Eastern Shore.,18.jpg
19,Yarmouth,95,"The Town of Yarmouth is home to many beautiful salt water and fresh water beaches. During the summer season (May-September), our beaches are open and staffed (lifeguards, gate attendants, etc) from 8am to 4pm",19.jpg
20,Hall Beach,96,"Hall Beach is a very traditional Inuit hamlet located on the eastern side of Melville Peninsula, which is part of the Canadian mainland. It faces south toward the fertile waters of Foxe Basin",20.jpg
21,Crystal Beach,110,". It was named for the ""crystal-clear"" water conditions present when it was founded on the northeast shore of Lake Erie, across from Buffalo.",21.jpg
22,Sandbanks Beach,99,"Sandbanks is among the largest and most beautiful beaches in Ontario, with golden sand and sparkling water. Windsurfing, sailing, canoeing and boating compete with sunbathing and swimming as favourite park activities",22.jpg
23,Wasaga Beach,98,"Wasaga Beach is a town in Simcoe County, Ontario, Canada. Situated along the longest freshwater beach in the world, it is a popular summer tourist destination. It is located along the southern end of Georgian Bay, approximately two hours north of Toronto.",23.jpg
24,Sauble Beach,114,Sauble Beach is the second longest freshwater beach in the world!,24.jpg
25,Port Franks Beach,123,"Port Franks is a small Southern Ontario community in the municipality of Lambton Shores, Lambton County in southwestern Ontario, Canada. It is located along Kings Highway 21 near Pinery Provincial Park, about 8 kilometres (5.0 mi) north of Thedford, Ontario",25.jpg
26,Port Stanley Beach,110,Port Stanley's Main Beach is a long beach with one of the finest stretches of sandy beach on Lake Erie's north shore,26.jpg
27,Cavendish Beach,162,Cavendish Beach is PEI's best-known beach. It has miles of white-gold sand surrounded and protected by gorgeous sand dunes. If living the beach life is an addiction then Cavendish Beach is the gateway drug.,27.jpg
28,Havre-Aubert Beach,179,"Also called Du Havre-Aubert Beach. One of our most famous beaches, site of the annual Sand Castle Contest. Enjoy kilometres of walking on golden sand to reach the Bout du Banc Point, where you will have an unobstructed view of Entry Island. ",28.jpg
29,Penouille Beach,193,"Come and enjoy an unforgettable experience in Gasp乶ie and enjoy a day filled with activities at Penouille Beach. You will find bicycles, quadricycles, electric bicycles, kayaks, paddle boards, beach chairs, umbrella, games and beach toys available for rental!",29.jpg
30,Lac Philippe,201,"With three sandy beaches, a large campground, boat rental facilities and plenty of hiking trails, your discovery options are nearly unlimited. A hike along the lake will take you to Lusk Cave, a superb example of a marble cave and a natural geological phenomenon",30.jpg
31,Oka Beach,191,"Park national d'Oka is not far from Montr伏l. This park has a rich historical and natural heritage. The Calvaire, with its four oratories and three chapels, is a unique complex of historic buildings in America",31.jpg
32,Tessier Beach,202,"This beach is situated on rue Major. The second largest beach on Lac des Sables, it is the ideal place to relax in the sun and take advantage of the tranquility offered by the Laurentians.",32.jpg
33,Katepwa Beach,216,"Katepwa Point Provincial Park, a small, day-use park featuring one of the nicest beaches in the Qu'Appelle Valley. It offers a lovely lawn area, near the beach, with picnic facilities (briquettes only), playground, service centre and parking.",33.jpg
34,Main Beach Kimball Lake,217,It covers about 1km of shoreline and is comprised of medium grain golden sand as well as some rocks and pebbles. It is easily accessible from the campground and from the day use area where there is ample parking,34.jpg
35,Kenosee Lake Main Beach,216,Beaach located in Sasketchwan,35.jpg
36,Candle Lake,215,"Candle Lake is a body of water in central Saskatchewan, approximately 65 kilometres (40 mi) northeast of Prince Albert, Saskatchewan.",36.jpg
37,Marsh Lake,221,"Marsh Lake (Mud Lake) is a widening of the Yukon River southeast of Whitehorse, Yukon, Canada. It is over 30 kilometres long and ranges from three to four kilometres wide.",37.jpg
38,Bennet Beach,221,"Bennett Beach is a large sandy beach with picnic tables and public restrooms. The nearby park boasts a variety of wildlife including wild flowers, rabbits, deer, waterfowl, shorebirds, gulls, terns, herons, and ducks.",38.jpg
